coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-121.586,39.1493",Wed Mar 23 17:10:01 +0000 2022,,,https://www.instagram.com/p/CbdEczCpSP-/?utm_medium=twitter,1,1506679674675507200,,,,en,"Marysville, CA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","My poor baby, I'm home but can't play with him, I'm working from home. @ Marysville, California https://t.co/hyLgvqaKdm",https://twitter.com/manangdi22/status/1506679674675507200,Mon May 25 20:40:27 +0000 2009,42482472,false,"Life is a journey, lets go!",1540,201,79,30,,Dinah,manangdi22,24047,,,false
"-118.2445,34.0564",Wed Mar 23 06:05:05 +0000 2022,faberlicusa womanownedbusiness directsalesmommy mlmpositivity workfromhome bossbabe,,https://www.instagram.com/p/Cbb4WkzuMJR/?utm_medium=twitter,0,1506512336219160580,,,,en,"Los Angeles, CA",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","FABERLIC is woman owned

#faberlicusa #womanownedbusiness #directsalesmommy #mlmpositivity #workfromhome #bossbabe @ Los Angeles, California https://t.co/fsvWIlj42M",https://twitter.com/FABERLICdigital/status/1506512336219160580,Fri Jan 28 23:34:51 +0000 2022,1487207500810047488,false,"FABERLIC DIGITAL is a digital marketing platform for Michael Svors team and downline leaders.

Stay ahead of the curve!",0,6,6,0,Los Angeles,FABERLIC DIGITAL,FABERLICdigital,328,,http://faberlicdigital.com,false
"126.98244019,37.54274326",Wed Mar 23 04:04:05 +0000 2022,,,http://dlvr.it/SMBn3K,0,1506481886599606275,,,,en,대한민국 용산구,false,,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","KRNR — S.Korea to buy 10 million doses of SK Bioscience's COVID vaccine: South Korea has reached a deal to buy 10 million doses of the country's first experimental coronavirus vaccine, developed by SK Bioscience Co Ltd ...  

View article... https://t.co/agmRY8Fq4C",https://twitter.com/StigmabaseU/status/1506481886599606275,Tue Oct 26 15:04:54 +0000 2010,208056970,false,Asia — भारत  — Türkçe — Čeština — ελληνικά | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,2529,2405,117,WORLDWIDE,Stigmabase | UN,StigmabaseU,1607300,,https://www.stigmabase.org/,false
"-0.1769472,51.3572864",Wed Mar 23 13:01:52 +0000 2022,health fitness HR happiness mentalhealth mindfulness wellness productivity wellbeing workplace business success leadership safety,https://twitter.com/AnthonyLSavage/status/1506617223724548098/photo/1,http://ow.ly/QJf050IjwT1,1,1506617223724548098,,,,en,"Sutton, London",false,,1,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Increased risk of mental health disorders – including anxiety and depression – after COVID-19 infection
https://t.co/VQyrpZbQM1
#health #fitness #HR #happiness #mentalhealth #mindfulness #wellness #productivity #wellbeing #workplace #business #success #leadership #safety https://t.co/YKFMH9ityP",https://twitter.com/AnthonyLSavage/status/1506617223724548098,Tue Nov 20 16:31:58 +0000 2012,960767672,false,Occupational Mental Health & Wellbeing Entrepreneur Medical Services Manager @Sparta_Health Absence Rehabilitation Benefits Fitness Engagement Human Resources,4,319,649,5,"London, England",Anthony Savage,AnthonyLSavage,1865,,http://www.linkedin.com/in/anthonysavage,false
"-95.40805249,29.84757868",Wed Mar 23 03:40:19 +0000 2022,,,https://www.instagram.com/p/CbbnyUkgJmO/?utm_medium=twitter,31,1506475904599527426,,,,en,"Houston, TX",false,,6,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",733 Days of my COVID-19 unit. @ United Memorial Medical Center https://t.co/DbXLVgImX5,https://twitter.com/joevaron/status/1506475904599527426,Sat Apr 04 16:52:44 +0000 2009,28826494,false,,204,8126,135,47,"ÜT: -8.724346,115.172641",Joseph Varon,joevaron,3066,,,false
"-77.0722549,38.9076323",Wed Mar 23 13:00:27 +0000 2022,,,https://www.thecaravelgu.com/blog/2022/3/22/far-right-movements-thrived-during-the-pandemic-a-case-study-of-spain-and-india,0,1506616867267481608,,,,en,"Washington, DC",false,,0,,,"<a href=""http://www.squarespace.com"" rel=""nofollow"">Squarespace</a>",Far-right movements saw the pandemic as an opportunity to spur anti-government sentiment or dissatisfaction toward certain groups of the population.  https://t.co/bpCxOqSSti,https://twitter.com/TheCaravelGU/status/1506616867267481608,Mon Apr 21 08:59:10 +0000 2014,2456230800,false,@georgetown's primary student-run international affairs newspaper! RTs are not endorsements. DMs are open!,62,195,379,5,Georgetown University,The Caravel,TheCaravelGU,3340,,http://thecaravelgu.com,false
"-98.5795,39.828175",Wed Mar 23 14:30:47 +0000 2022,,,https://www.wgal.com/article/covid-scientists-worry-virus-variant-may-push-up-us-cases/39507078,0,1506639601884094465,,,,en,"Kansas, USA",false,,0,,,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">heapevents.info</a>","Covid Scientists Worry Virus Variant May Push Up Us Cases ☝ 😐 
 https://t.co/GYhKhBwb53",https://twitter.com/heapevents/status/1506639601884094465,Sat Jan 09 15:58:46 +0000 2021,1347935690332495877,false,just heap of US events,0,7,25,1,,heapevents.info,heapevents,21354,,https://www.heapevents.info/,false
"-87.6319125,41.88378279",Wed Mar 23 15:53:09 +0000 2022,MothershipBabyBubba,https://twitter.com/OrganizerCmw/status/1506660101486112768/photo/1,https://www.instagram.com/p/Cbc7poqLqDL/?utm_medium=twitter,2,1506660328393826310,,,,en,"Chicago, IL",false,,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Nationally recognized formerly homeless leader known as #MothershipBabyBubba says he had to get covid from living on the street after years as of being on waiting lists @chi_housing https://t.co/eD9llMYzf6 @ City Halls https://t.co/7nuOxdeMWV,https://twitter.com/OrganizerCmw/status/1506660328393826310,Wed May 15 14:36:40 +0000 2013,1430674351,false,Community organizer Chris White. Community supporter not formally tied to any union or committee right now #TweetsOwn #RTnotendorse,12060,1452,4999,45,Chicago,Chris White,OrganizerCmw,22329,,https://www.linkedin.com/profile/view?id=36961900,false
"-85.1707001,41.0201312",Wed Mar 23 11:37:33 +0000 2022,,,http://dlvr.it/SMCsH9,0,1506596004543406085,,,,en,"Fort Wayne, IN",false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",USPS Delivered 270 Million COVID-19 Tests https://t.co/cSq5PuXJOs,https://twitter.com/WaynedaleNews/status/1506596004543406085,Wed Sep 30 05:38:16 +0000 2009,78524348,false,"Waynedale's Positive Community Newspaper & Original Stories, for the enhancement of Waynedale. Articles are written by our local writers, covering the region.",196,4856,723,32,"Fort Wayne, IN 46809",The Waynedale News,WaynedaleNews,6187,,https://waynedalenews.com/,false
"-79.8964,35.3604",Wed Mar 23 14:45:05 +0000 2022,,,https://www.instagram.com/p/Cbcz3E9uiiW/?utm_medium=twitter,0,1506643197912498179,,,,en,"Troy, NC",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","COVID might have delayed this process but y’all my baby did that! She got her permit and in 6 months her license 😁👏🏻 @nakayla.skye ❤️ @ Troy, North Carolina https://t.co/fC1acgQc40",https://twitter.com/EnvyLynzee/status/1506643197912498179,Thu Apr 05 19:07:29 +0000 2012,546294363,false,sɴᴀᴘᴄʜᴀᴛ 👻 & TikTok: EɴᴠʏLʏɴᴢᴇᴇ #LᴜᴄɪʟʟᴇBᴀʟʟ❣️ #EɴᴠʏLʏɴᴢᴇᴇ #CᴏʟᴏʀQᴜᴇᴇɴ 🎨👑 I do what you wish you could #PolyLife 😝#RollerSkating 🛼 #cornholeQueen♏️,24161,499,746,9,"BADin, NC ",Eɴᴠʏ Lʏɴᴢᴇᴇ LLC 🌈🌻💕,EnvyLynzee,32700,,http://www.EnvyLynzee.com,false
"-104.990251,39.7392358",Wed Mar 23 18:02:57 +0000 2022,Denver,,,0,1506692995365556227,,,,en,"Denver, CO",,,0,,,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","This job is now open at Mental Health Center of Denver in #Denver, CO. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: Mental Health Therapist II or Licensed Clinician (LCSW/LMFT/LAC) - Emerson St./Urban Peak - Social Worker/Counselor",https://twitter.com/TmjUsaHealthWlf/status/1506692995365556227,Fri Mar 06 04:24:00 +0000 2009,23029774,false,Follow this account for geo-targeted Health & Welfare job tweets in USA. Need help? Tweet us at @CareerArc!,0,291,80,17,USA,TMJ-USA Health&Wlf,TmjUsaHealthWlf,961,,http://bit.ly/2Kaw4g7,false
"121.4,31.0456",Wed Mar 23 12:17:11 +0000 2022,,,https://www.instagram.com/p/Cbci77XMiFZ/?utm_medium=twitter,1,1506605979047284741,,,,en,"上海, 中华人民共和国",false,,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Celebrate the completion of self-quarantine. A lot of food and a lot of beer. @ Shanghai, Chaina https://t.co/kuaWgbS4f7",https://twitter.com/exJock4Foodie/status/1506605979047284741,Thu Jul 29 14:49:55 +0000 2021,1420758460430360583,false,"SIN JFK PEK, ExJock Foodie Pants and Shirts lover, Look for Overeating or Hiking",272,324,1718,0,,IG-exJock4foodie,exJock4Foodie,176,,,false
